Institution,N
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1026,1
103,3
1057,4
1155,4
1164,1
1167,1
1172,1
1185,18
1186,3
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1202,1
1203,1
1212,4
126,1
128,3
1313,1
1318,4
1319,1
1320,1
1321,2
1322,1
1323,5
1327,1
1328,1
1331,1
1334,1
1339,1
141,1
149,1
150,1
187,1
200,1
248,1
249,1
25,1
289,4
336,3
393,7
394,4
395,1
420,1
438,1
439,2
449,1
456,1
497,1
519,1
526,1
554,8
593,2
616,1
624,1
640,1
641,1
645,3
647,1
656,1
657,1
664,1
666,1
718,1
76.0,2
784,1
829,1
844,1
845,3
847,2
848,1
850,1
864,3
873,3
890,3
891,1
892,1
898,1
903,2
904,1
905,1
906,4
925,1
973,1
979,1
980,1
99,1
998,1
IMOS,1
NA,26
