Month,LME,Mth_Mesozoo_mgC_m3,Mth_Mesozoo_sd,Mesozoo_mgC_m3,Mesozoo_sd
Jan,Southeast U.S. Continental Shelf,577.5175380801246,193.62296428532457,641.5189166409863,291.8366991721503
Feb,Southeast U.S. Continental Shelf,587.5071906571063,201.62159226507706,641.5189166409863,291.8366991721503
Mar,Southeast U.S. Continental Shelf,617.8701651253783,248.59960459224675,641.5189166409863,291.8366991721503
Apr,Southeast U.S. Continental Shelf,640.8129445064768,290.9873164803107,641.5189166409863,291.8366991721503
May,Southeast U.S. Continental Shelf,642.5808020085507,318.3901411706362,641.5189166409863,291.8366991721503
Jun,Southeast U.S. Continental Shelf,652.0131333585366,340.8468698861285,641.5189166409863,291.8366991721503
Jul,Southeast U.S. Continental Shelf,651.6280134529843,344.5764784609724,641.5189166409863,291.8366991721503
Aug,Southeast U.S. Continental Shelf,658.1682943090346,345.6324240670493,641.5189166409863,291.8366991721503
Sep,Southeast U.S. Continental Shelf,687.4394040709627,347.4672809085532,641.5189166409863,291.8366991721503
Oct,Southeast U.S. Continental Shelf,697.8717167790085,320.8170210933283,641.5189166409863,291.8366991721503
Nov,Southeast U.S. Continental Shelf,664.2677720034143,261.33493309942145,641.5189166409863,291.8366991721503
Dec,Southeast U.S. Continental Shelf,620.5500253402563,222.2238338994123,641.5189166409863,291.8366991721503
Jan,East Central Australian Shelf,635.0901770218735,213.53284223609128,630.1744697110843,196.6595718465345
Feb,East Central Australian Shelf,646.7970675775202,273.0768880052829,630.1744697110843,196.6595718465345
Mar,East Central Australian Shelf,627.7021662185813,196.76627684882448,630.1744697110843,196.6595718465345
Apr,East Central Australian Shelf,619.9581546088117,169.52362790403166,630.1744697110843,196.6595718465345
May,East Central Australian Shelf,613.1251462400421,147.7379641361674,630.1744697110843,196.6595718465345
Jun,East Central Australian Shelf,581.6252259775089,122.31291458449176,630.1744697110843,196.6595718465345
Jul,East Central Australian Shelf,558.1739375474463,113.97236123655445,630.1744697110843,196.6595718465345
Aug,East Central Australian Shelf,583.5119944008964,126.81475099691835,630.1744697110843,196.6595718465345
Sep,East Central Australian Shelf,660.4587025615858,193.98705858175788,630.1744697110843,196.6595718465345
Oct,East Central Australian Shelf,701.8901267508483,243.27246040551296,630.1744697110843,196.6595718465345
Nov,East Central Australian Shelf,680.5542640211513,229.05808863791572,630.1744697110843,196.6595718465345
Dec,East Central Australian Shelf,653.2066736067446,212.34274160431207,630.1744697110843,196.6595718465345
Jan,South Brazil Shelf,615.308116785625,161.31678197114203,601.7944777222565,175.1591609305581
Feb,South Brazil Shelf,601.9833428678994,136.6842361750359,601.7944777222565,175.1591609305581
Mar,South Brazil Shelf,592.5729787361151,129.44975854923882,601.7944777222565,175.1591609305581
Apr,South Brazil Shelf,581.3331601774476,138.87260966982768,601.7944777222565,175.1591609305581
May,South Brazil Shelf,566.3818759430105,130.78369682789202,601.7944777222565,175.1591609305581
Jun,South Brazil Shelf,541.9395637863907,130.2914923429327,601.7944777222565,175.1591609305581
Jul,South Brazil Shelf,533.6030277532782,142.50014774478268,601.7944777222565,175.1591609305581
Aug,South Brazil Shelf,558.9049600459978,153.64694215417506,601.7944777222565,175.1591609305581
Sep,South Brazil Shelf,639.7124507786333,202.1487262392025,601.7944777222565,175.1591609305581
Oct,South Brazil Shelf,679.7782992322426,241.02251078863918,601.7944777222565,175.1591609305581
Nov,South Brazil Shelf,673.8458240626443,232.3263870631024,601.7944777222565,175.1591609305581
Dec,South Brazil Shelf,636.1701324977938,179.94608905952148,601.7944777222565,175.1591609305581
